labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
comfort;181;jul.50;11.473;2483;3142;3810;1532
congrats;182;jul.50;15.419;969;--;--;--
cupcake;183;jul.50;17.642;--;--;--;--
earn;184;jul.50;13.439;2014;--;3662;3810
extraordinary;185;jul.50;13.740;--;2904;818;--
glory;186;jul.50;16.067;2487;2558;--;969
hilarious;187;jul.50;19.821;1386;--;--;--
moonlight;188;jul.50;13.590;--;--;--;1326
optimistic;189;jul.50;13.132;--;--;4110;--
peaceful;190;jul.50;10.926;4916;4769;--;3251
romance;191;jul.50;14.321;3144;--;--;1396
feast;192;jul.49;16.473;--;--;--;4050
attractive;193;jul.48;0.9739;4966;3658;3980;--
glad;194;jul.48;15.151;451;2828;4831;833
grandma;195;jul.48;15.016;2802;--;--;4599
internet;196;jul.48;13.130;533;3835;1330;--
pleasant;197;jul.48;12.162;--;3049;4478;--
profits;198;jul.48;13.285;--;3109;2141;--
smart;199;jul.48;13.738;1302;--;3745;1952
x-mas;200;jul.48;18.210;--;--;--;--
babies;201;jul.46;15.012;2129;--;--;2077
cheer;202;jul.46;16.807;1756;--;--;3198
courage;203;jul.46;11.817;4578;3003;3238;2789
enthusiasm;204;jul.46;11.287;--;3780;4375;--
honest;205;jul.46;11.287;1518;3348;4328;2375
loyal;206;jul.46;12.488;--;--;3925;--
opportunities;207;jul.46;10.919;4313;2239;3283;--
triumph;208;jul.46;18.318;--;4335;4913;--
wow;209;jul.46;14.458;281;--;--;1814
jewels;210;jul.46;16.153;--;--;--;2854
forests;211;jul.45;13.320;--;4405;--;--
apple;212;jul.44;12.316;633;--;2983;2320
dreams;213;jul.44;14.165;928;3322;4127;258
fantasy;214;jul.44;16.183;1483;--;--;1320
food;215;jul.44;12.149;198;557;445;1335
honey;216;jul.44;15.928;1078;--;--;496
miracles;217;jul.44;19.395;--;--;--;3821
sex;218;jul.44;16.801;375;1356;1959;787
sing;219;jul.44;13.426;1040;3950;3943;297
starlight;220;jul.44;14.165;--;--;--;4347
