labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
receptor;4759;maj.51;14.307;--;4681;--;--
slope;4760;maj.51;12.603;--;4144;--;--
tener;4761;maj.51;10.231;--;--;--;4817
thong;4762;maj.51;17.335;--;--;--;4740
account;4763;maj.50;0.9530;948;450;955;--
adds;4764;maj.50;0.9530;4261;4300;4690;--
anglo;4765;maj.50;13.838;--;4412;--;--
application;4766;maj.50;13.286;3090;881;4231;--
arm;4767;maj.50;10.152;1592;1704;3369;1479
atoms;4768;maj.50;12.164;--;4149;--;--
austin;4769;maj.50;10.738;2240;--;2705;--
behavior;4770;maj.50;12.657;--;770;2471;--
beyond;4771;maj.50;14.321;1929;625;1256;862
bloggers;4772;maj.50;12.976;4921;--;--;--
bow;4773;maj.50;14.321;3996;4413;--;1362
brief;4774;maj.50;12.817;4796;1777;983;--
buffalo;4775;maj.50;15.940;4127;--;2742;--
capacity;4776;maj.50;14.178;--;1170;2691;--
chairwoman;4777;maj.50;11.824;--;--;4809;--
channel;4778;maj.50;0.8391;1281;2462;2300;3977
charlotte;4779;maj.50;0.9742;4195;--;2732;--
christine;4780;maj.50;12.976;--;--;3153;--
clay;4781;maj.50;13.286;--;3014;--;4009
consumer;4782;maj.50;10.546;4829;3183;1347;--
count;4783;maj.50;10.546;1577;1951;2217;895
crews;4784;maj.50;14.178;--;--;--;4308
david;4785;maj.50;11.473;1007;1316;178;2468
democrats;4786;maj.50;19.923;4933;--;948;--
doing;4787;maj.50;11.995;233;736;618;544
editions;4788;maj.50;12.976;--;--;2276;--
effects;4789;maj.50;14.743;4028;528;2130;--
equivalent;4790;maj.50;12.976;--;2166;4316;--
eyed;4791;maj.50;13.887;3058;--;--;3043
faculty;4792;maj.50;14.321;--;2941;2267;--
feels;4793;maj.50;17.409;647;3465;3006;466
fellow;4794;maj.50;14.604;2749;1734;1476;4565
figure;4795;maj.50;11.473;1016;261;1146;1186
finals;4796;maj.50;19.821;3226;--;4991;--
fm;4797;maj.50;16.067;3632;--;--;--
footsteps;4798;maj.50;13.887;--;--;--;3515
frequently;4799;maj.50;16.067;--;950;2494;--
generation;4800;maj.50;11.995;3268;1585;2076;2270
genetic;4801;maj.50;12.495;--;3409;--;--
glasses;4802;maj.50;12.976;2331;--;--;3928
halfway;4803;maj.50;10.351;--;--;--;3993
handled;4804;maj.50;0.9313;--;--;3815;--
in;4805;maj.50;10.152;6;5;6;9
insure;4806;maj.50;14.321;--;--;4003;--
investors;4807;maj.50;12.495;--;--;1011;--
item;4808;maj.50;0.9313;1889;2740;--;--
jack;4809;maj.50;0.9742;1359;2869;965;1156
jane;4810;maj.50;0.9742;4604;4297;1277;2479
jones;4811;maj.50;10.152;2227;2745;1119;1781
leven;4812;maj.50;12.817;--;--;--;2821
manifest;4813;maj.50;13.590;--;4407;--;--
map;4814;maj.50;14.321;3126;2243;2632;2996
maria;4815;maj.50;12.330;--;4065;2686;3086
melissa;4816;maj.50;10.926;--;--;4388;--
minute;4817;maj.50;0.9313;1103;1950;2954;735
normally;4818;maj.50;0.9742;3692;2667;4552;--
pastor;4819;maj.50;18.434;4674;--;--;--
patricia;4820;maj.50;0.9949;--;--;1681;--
pole;4821;maj.50;11.995;--;4245;--;4005
preface;4822;maj.50;13.439;--;4409;--;--
prep;4823;maj.50;13.590;4449;--;--;--
quiet;4824;maj.50;18.098;957;2232;2802;1201
ran;4825;maj.50;14.604;1501;1801;1686;973
rated;4826;maj.50;14.321;2688;--;1709;--
repertory;4827;maj.50;17.525;--;--;4296;--
retailers;4828;maj.50;12.495;--;--;2574;--
retain;4829;maj.50;0.9530;--;4143;4712;--
rub;4830;maj.50;15.152;--;--;--;2369
russia;4831;maj.50;13.740;4709;1816;1572;--
settings;4832;maj.50;12.548;--;4831;--;--
skin;4833;maj.50;15.551;1615;1304;4194;581
sms;4834;maj.50;16.067;4128;--;--;--
specifically;4835;maj.50;11.112;--;2705;4954;--
steven;4836;maj.50;10.926;--;--;1018;--
stevie;4837;maj.50;11.824;--;--;--;--
texting;4838;maj.50;14.604;3108;--;--;--
tie;4839;maj.50;11.824;3066;4806;2527;1656
transmission;4840;maj.50;13.286;--;3167;--;--
unit;4841;maj.50;0.9742;2378;1027;880;--
variation;4842;maj.50;11.824;--;2444;--;--
vol;4843;maj.50;15.152;--;741;--;--
wanna;4844;maj.50;15.419;257;--;--;77
we're;4845;maj.50;10.152;--;--;--;--
wearing;4846;maj.50;11.824;989;3956;2696;1732
westside;4847;maj.50;13.132;--;--;--;4260
wild;4848;maj.50;18.098;1464;1673;2603;492
womb;4849;maj.50;13.887;--;--;--;4362
works;4850;maj.50;14.463;750;556;600;2201
yankee;4851;maj.50;17.642;--;--;3806;4007
responsibilities;4852;maj.49;17.224;--;4112;--;--
awaits;4853;maj.49;14.012;--;--;--;4829
interface;4854;maj.49;10.433;--;4053;--;--
mics;4855;maj.49;13.090;--;--;--;4709
modified;4856;maj.49;10.825;--;3061;--;--
remark;4857;maj.49;13.712;--;4201;--;--
supervision;4858;maj.49;16.346;--;4553;--;--
weave;4859;maj.49;13.863;--;--;--;4804
flame;4860;maj.49;17.304;--;4702;--;1015
interpreted;4861;maj.49;13.493;--;3637;--;--
11am;4862;maj.48;11.110;--;--;--;--
acts;4863;maj.48;11.471;4673;1201;3247;4338
actual;4864;maj.48;10.544;2457;1009;3934;--
adviser;4865;maj.48;18.210;--;--;2278;--
advisers;4866;maj.48;13.738;--;--;3900;--
ahhh;4867;maj.48;20.428;1746;--;--;2887
alabama;4868;maj.48;11.648;4400;--;4601;--
along;4869;maj.48;0.8142;1054;396;601;424
announced;4870;maj.48;15.151;2707;3143;558;--
approached;4871;maj.48;12.816;--;3754;--;--
attempted;4872;maj.48;15.680;--;2528;4716;--
ballin;4873;maj.48;16.318;--;--;--;4438
beta;4874;maj.48;11.471;2717;--;--;--
bling;4875;maj.48;21.019;--;--;--;3344
canon;4876;maj.48;13.438;4528;--;--;--
cheap;4877;maj.48;19.508;1316;--;--;1768
church;4878;maj.48;18.543;504;296;253;1590
cincinnati;4879;maj.48;14.741;--;--;2890;--
column;4880;maj.48;0.9089;3072;2064;447;--
compound;4881;maj.48;12.974;--;3433;--;--
concept;4882;maj.48;14.032;3002;1125;3827;--
consultant;4883;maj.48;11.822;--;--;1623;--
convention;4884;maj.48;12.329;--;1874;2155;--
coupe;4885;maj.48;15.418;--;--;--;4139
cumulative;4886;maj.48;10.736;--;--;3206;--
demo;4887;maj.48;13.130;2893;--;--;4600
donald;4888;maj.48;12.493;--;--;1351;--
elements;4889;maj.48;15.285;--;817;3802;--
encountered;4890;maj.48;13.285;--;3925;--;--
everytime;4891;maj.48;14.741;2075;--;--;900
exception;4892;maj.48;11.471;--;2358;--;--
export;4893;maj.48;13.738;--;3232;4613;--
extensive;4894;maj.48;12.656;--;1972;4111;--
external;4895;maj.48;12.162;--;1259;--;--
fb;4896;maj.48;12.162;1407;--;--;--
felt;4897;maj.48;13.738;1083;498;1176;518
guild;4898;maj.48;0.9528;--;--;4732;--
habit;4899;maj.48;16.066;3104;3054;--;3208
he'll;4900;maj.48;11.648;--;--;--;--
here;4901;maj.48;10.925;97;138;188;72
highway;4902;maj.48;12.656;2966;4801;2886;1248
holmes;4903;maj.48;12.329;4632;--;--;--
ikea;4904;maj.48;16.567;--;--;--;--
indicate;4905;maj.48;0.9528;--;1639;4778;--
janet;4906;maj.48;0.9528;--;--;2367;4652
joan;4907;maj.48;12.329;--;--;1499;--
jump;4908;maj.48;17.407;1742;--;3693;714
kate;4909;maj.48;14.741;3173;--;2941;--
katherine;4910;maj.48;15.418;--;--;3146;--
katie;4911;maj.48;16.066;4136;--;--;--
katy;4912;maj.48;11.993;--;--;--;--
korean;4913;maj.48;14.741;4238;--;2789;--
laurie;4914;maj.48;11.993;--;--;4184;--
led;4915;maj.48;11.292;3197;732;621;2109
lei;4916;maj.48;15.810;--;--;--;3881
longest;4917;maj.48;14.462;4421;--;--;4946
luna;4918;maj.48;17.407;--;--;--;2405
madison;4919;maj.48;11.993;--;--;979;--
mark;4920;maj.48;12.974;1278;1376;506;1535
may;4921;maj.48;16.318;278;53;60;334
methods;4922;maj.48;0.9947;--;672;4618;--
mixed;4923;maj.48;0.8389;2761;2058;3160;2784
motor;4924;maj.48;11.822;4919;2039;3309;3676
naval;4925;maj.48;12.493;--;3295;4436;--
nicole;4926;maj.48;15.680;4994;--;4711;--
nose;4927;maj.48;12.329;1880;3326;--;1438
oklahoma;4928;maj.48;14.320;4748;--;3434;--
ole;4929;maj.48;13.285;4514;--;--;2675
operates;4930;maj.48;12.329;--;--;4344;--
palm;4931;maj.48;13.285;2968;--;1752;2749
particles;4932;maj.48;11.648;--;2693;--;--
pepper;4933;maj.48;14.879;3858;--;4709;--
physics;4934;maj.48;17.984;--;3946;--;--
picking;4935;maj.48;0.9528;2426;--;--;3463
portion;4936;maj.48;15.151;--;1362;3690;--
post;4937;maj.48;10.925;387;889;1003;3376
powell;4938;maj.48;11.648;--;--;3387;--
predicted;4939;maj.48;12.329;--;--;3173;--
quoted;4940;maj.48;0.9947;--;2306;2932;--
remote;4941;maj.48;17.290;3769;3215;--;--
requested;4942;maj.48;0.8389;--;4833;4331;--
roller;4943;maj.48;12.656;--;--;--;3715
route;4944;maj.48;12.162;3555;2544;1846;3990
run;4945;maj.48;14.320;445;749;434;178
sally;4946;maj.48;0.9089;--;--;3661;3842
sell;4947;maj.48;11.292;1280;2526;906;981
server;4948;maj.48;13.130;2420;4238;--;--
sessions;4949;maj.48;0.9311;--;4933;4823;--
shape;4950;maj.48;0.8628;3061;1446;3047;1948
spread;4951;maj.48;11.292;1937;1562;2521;1228
square;4952;maj.48;0.9947;1456;1358;937;2420
stephanie;4953;maj.48;13.589;--;--;3649;--
surfaces;4954;maj.48;12.162;--;3505;--;--
surname;4955;maj.48;0.9947;--;--;1491;--
tampa;4956;maj.48;0.9739;4599;--;3886;--
township;4957;maj.48;15.939;--;--;3989;--
trek;4958;maj.48;14.741;2088;--;--;--
tried;4959;maj.48;16.443;774;1000;1074;413
truck;4960;maj.48;15.550;1304;--;3082;1426
tweet;4961;maj.48;15.939;325;--;--;--
user;4962;maj.48;10.150;2494;2539;--;--
users;4963;maj.48;11.471;2342;3400;3569;--
utility;4964;maj.48;12.162;--;3605;3727;--
vamos;4965;maj.48;12.329;4310;--;--;2458
wells;4966;maj.48;0.8862;--;4735;3799;--
ceiling;4967;maj.47;11.012;--;--;--;2399
dwell;4968;maj.47;16.596;--;--;--;3752
elaborate;4969;maj.47;16.596;--;4292;--;--
grip;4970;maj.47;17.091;--;--;--;1767
halls;4971;maj.47;10.821;--;--;--;3770
loaded;4972;maj.47;18.383;--;--;--;2288
metabolism;4973;maj.47;15.014;--;4860;--;--
spinning;4974;maj.47;14.157;--;--;--;1400
#nowplaying;4975;maj.46;15.147;--;--;--;--
alex;4976;maj.46;0.8855;2228;--;2136;--
appeared;4977;maj.46;0.9941;--;872;1030;--
arlington;4978;maj.46;16.563;--;--;3777;--
blogger;4979;maj.46;11.287;4016;--;--;--
bricks;4980;maj.46;10.919;--;--;--;2680
cam;4981;maj.46;11.817;3272;--;--;--
caption;4982;maj.46;0.8381;--;--;910;--
carries;4983;maj.46;12.324;--;4609;3860;4112
carroll;4984;maj.46;10.343;--;--;4723;--
cavalry;4985;maj.46;17.286;--;4855;--;--
challenged;4986;maj.46;14.737;--;--;3413;--
chi;4987;maj.46;14.028;--;--;--;2262
chronicle;4988;maj.46;15.281;--;--;2555;--
coalition;4989;maj.46;14.172;--;--;1918;--
colonies;4990;maj.46;13.433;--;2967;--;--
competitive;4991;maj.46;19.082;--;3651;2622;--
conducted;4992;maj.46;11.988;--;2236;1882;--
consisted;4993;maj.46;13.280;--;3912;--;--
contract;4994;maj.46;11.104;3513;1493;673;--
developers;4995;maj.46;17.168;--;--;4660;--
diameter;4996;maj.46;11.671;--;2596;--;--
directed;4997;maj.46;10.730;--;1670;806;--
distributed;4998;maj.46;11.104;--;2741;4060;--
domestic;4999;maj.46;16.563;--;1459;1693;--
dozen;5000;maj.46;11.104;--;3723;2379;3817
enough;5001;maj.46;14.028;390;387;461;250
equation;5002;maj.46;15.012;--;1500;--;--
expectations;5003;maj.46;15.414;--;3396;3499;--
explain;5004;maj.46;13.433;2167;1414;2809;1009
followed;5005;maj.46;12.157;1829;646;1297;2661
fox;5006;maj.46;17.168;1426;4571;1875;3904
further;5007;maj.46;11.104;3193;325;872;1882
gears;5008;maj.46;0.8855;4333;--;--;--
guts;5009;maj.46;19.295;--;--;--;2778
helen;5010;maj.46;10.144;--;--;1678;--
index;5011;maj.46;12.324;--;1518;1169;--
instructions;5012;maj.46;14.458;--;2636;--;--
jeffrey;5013;maj.46;10.539;--;--;1517;--
jerry;5014;maj.46;19.919;4725;--;1993;--
lafayette;5015;maj.46;15.806;--;--;4340;--
laid;5016;maj.46;12.324;3731;1379;4317;1235
let's;5017;maj.46;10.144;--;3616;--;--
linked;5018;maj.46;14.028;--;3048;3933;--
list;5019;maj.46;0.8621;586;935;892;2102
local;5020;maj.46;13.584;857;397;566;3057
loop;5021;maj.46;13.126;--;4397;--;3629
manufacturers;5022;maj.46;11.466;--;4791;2822;--
math;5023;maj.46;19.505;1960;--;--;--
matthew;5024;maj.46;10.343;--;--;1473;--
meeting;5025;maj.46;13.433;678;816;644;3944
megan;5026;maj.46;12.651;4789;--;--;--
mornin;5027;maj.46;16.807;2896;--;--;4172
needed;5028;maj.46;14.875;962;794;956;956
object;5029;maj.46;10.343;--;634;4566;--
organ;5030;maj.46;16.563;--;3390;--;--
particularly;5031;maj.46;12.651;--;621;1270;--
philly;5032;maj.46;15.546;3240;--;--;4312
process;5033;maj.46;11.104;2186;259;835;--
projects;5034;maj.46;15.935;2601;2105;1655;3296
pulls;5035;maj.46;11.466;--;--;--;3012
quote;5036;maj.46;0.9082;1628;--;--;--
rebecca;5037;maj.46;13.433;--;--;2964;--
reform;5038;maj.46;13.433;2935;1661;1537;--
religious;5039;maj.46;20.123;--;611;1616;--
richmond;5040;maj.46;10.919;--;--;3291;--
sandra;5041;maj.46;0.9304;--;--;3471;--
segment;5042;maj.46;14.875;--;4252;--;--
sent;5043;maj.46;0.9082;916;589;816;1113
series;5044;maj.46;0.9304;1011;627;487;--
serve;5045;maj.46;13.126;3189;1262;1377;1967
sharon;5046;maj.46;0.9733;--;--;2340;--
shipping;5047;maj.46;13.126;1747;--;--;--
shoulder;5048;maj.46;12.157;3518;3036;3761;1283
stacks;5049;maj.46;13.280;--;--;--;4161
statements;5050;maj.46;0.9733;--;2158;2775;--
surrounding;5051;maj.46;12.324;--;3056;4142;--
therapy;5052;maj.46;15.281;3465;1602;4315;--
thy;5053;maj.46;11.643;--;1568;--;1712
twitter;5054;maj.46;19.082;107;--;--;--
uno;5055;maj.46;0.9521;4480;--;--;2966
vincent;5056;maj.46;0.9304;--;--;2643;--
watched;5057;maj.46;12.651;616;2995;3415;1375
wide;5058;maj.46;13.280;2207;901;1811;786
william;5059;maj.46;10.539;3778;643;330;--
dome;5060;maj.46;13.202;--;--;--;3195
filter;5061;maj.46;12.709;--;4189;--;--
notions;5062;maj.46;11.291;--;4800;--;--
unfold;5063;maj.46;13.202;--;--;--;4001
administered;5064;maj.45;15.554;--;4155;--;--
furthermore;5065;maj.45;14.652;--;2490;--;--
situations;5066;maj.45;11.376;--;2139;--;5000
sociology;5067;maj.45;14.586;--;4487;--;--
subsequent;5068;maj.45;12.258;--;1845;--;--
sway;5069;maj.45;12.087;--;--;--;3333
wrists;5070;maj.45;13.395;--;--;--;4823
drawers;5071;maj.45;13.156;--;--;--;4714
undoubtedly;5072;maj.45;14.567;--;3514;--;--
2nite;5073;maj.44;17.861;--;--;--;--
amp;5074;maj.44;12.480;2801;--;--;--
anita;5075;maj.44;12.961;--;--;3469;--
area;5076;maj.44;0.8843;1117;373;603;4013
arthur;5077;maj.44;10.910;--;3108;1279;--
assigned;5078;maj.44;12.316;--;2607;3447;--
aug;5079;maj.44;13.726;--;--;583;--
axis;5080;maj.44;14.020;--;2698;--;--
battery;5081;maj.44;11.980;2244;--;--;--
beside;5082;maj.44;0.9930;4985;2755;--;997
bob;5083;maj.44;11.634;1991;--;1070;2851
brown;5084;maj.44;12.803;961;1208;744;1021
calculation;5085;maj.44;11.980;--;4416;--;--
carolina;5086;maj.44;15.140;3719;3135;1767;4504
carried;5087;maj.44;11.095;--;680;1580;2462
centres;5088;maj.44;12.316;--;4887;--;--
chair;5089;maj.44;12.480;1575;2259;2297;1843
charter;5090;maj.44;0.9293;--;3888;3991;--
columbia;5091;maj.44;14.730;--;3459;777;--
company;5092;maj.44;15.800;816;368;56;1704
consist;5093;maj.44;12.803;--;3999;--;--
cope;5094;maj.44;16.056;--;--;--;4471
counter;5095;maj.44;11.808;--;3133;--;--
curtains;5096;maj.44;13.726;--;--;--;4078
deck;5097;maj.44;13.874;3202;4720;4698;2989
den;5098;maj.44;13.426;1170;3980;--;872
doors;5099;maj.44;10.721;3012;3340;3555;1409
earl;5100;maj.44;10.910;--;3186;--;--
editors;5101;maj.44;11.808;--;--;4781;--
evelyn;5102;maj.44;10.333;--;--;3784;--
fisher;5103;maj.44;12.643;--;--;2712;--
flow;5104;maj.44;15.928;2977;921;3419;638
georgia;5105;maj.44;12.803;4004;4477;2549;3143
i'd;5106;maj.44;0.8122;--;--;--;--
imports;5107;maj.44;14.868;--;4220;4281;--
jay;5108;maj.44;11.278;1969;--;1762;2762
joel;5109;maj.44;10.134;--;--;2387;--
jordan;5110;maj.44;17.515;2871;--;1921;--
kong;5111;maj.44;11.808;4664;--;3129;4240
lab;5112;maj.44;15.407;2536;--;--;--
lateral;5113;maj.44;12.643;--;3170;--;--
mass;5114;maj.44;11.095;2236;719;345;2873
meant;5115;maj.44;0.9930;1270;1305;2156;658
metal;5116;maj.44;12.803;1441;1743;3429;1610
mister;5117;maj.44;14.309;--;--;--;1651
montana;5118;maj.44;12.803;4208;--;--;--
moore;5119;maj.44;15.928;--;--;2312;--
noche;5120;maj.44;11.808;--;--;--;1574
nov;5121;maj.44;12.480;2450;4680;578;--
operating;5122;maj.44;14.165;--;2013;1092;--
overall;5123;maj.44;12.149;3964;2212;2174;--
passes;5124;maj.44;14.868;3348;3204;3771;2894
passing;5125;maj.44;17.398;3176;1729;540;1355
paul;5126;maj.44;12.149;1469;1224;422;1783
phrase;5127;maj.44;0.8369;4216;2914;4851;--
possess;5128;maj.44;15.928;--;2963;--;4773
quantitative;5129;maj.44;14.020;--;4593;--;--
recently;5130;maj.44;11.095;2098;1497;544;--
refers;5131;maj.44;11.634;--;2804;--;--
represent;5132;maj.44;10.529;--;1540;1745;2118
saw;5133;maj.44;0.8122;336;447;1142;381
search;5134;maj.44;11.808;756;1509;1648;1301
sept;5135;maj.44;10.333;4706;4921;438;--
seventy;5136;maj.44;15.670;--;4158;--;--
signal;5137;maj.44;0.9723;--;1898;3926;4896
solomon;5138;maj.44;12.961;--;--;4002;--
stations;5139;maj.44;0.9071;--;3746;2334;--
storage;5140;maj.44;10.721;4607;2836;4814;--
street;5141;maj.44;0.8369;432;740;85;400
subject;5142;maj.44;10.333;4014;347;1283;--
submit;5143;maj.44;15.005;4845;4714;4839;--
surround;5144;maj.44;14.020;--;--;--;3064
ten;5145;maj.44;11.980;1661;664;3037;784
tenants;5146;maj.44;11.634;--;--;3993;--
thurs;5147;maj.44;13.577;4319;--;--;--
tone;5148;maj.44;0.8609;4987;2116;3221;2736
tongue;5149;maj.44;10.910;3598;2834;--;1170
trunk;5150;maj.44;0.9723;--;--;--;2120
tweeted;5151;maj.44;16.922;2356;--;--;--
versions;5152;maj.44;10.333;--;--;--;--
wagner;5153;maj.44;0.9723;--;--;4409;--
wax;5154;maj.44;11.980;--;--;--;3936
wilson;5155;maj.44;0.7866;4691;2766;1631;--
worked;5156;maj.44;15.800;1336;1190;691;2190
yen;5157;maj.44;14.309;--;--;2531;--
zion;5158;maj.44;15.274;--;--;3556;--
measurements;5159;maj.44;15.966;--;3115;--;--
reactions;5160;maj.44;0.9655;--;2338;--;--
adjacent;5161;maj.43;11.365;--;4024;--;--
bailar;5162;maj.43;10.408;--;--;--;3576
kara;5163;maj.43;13.385;--;--;--;4025
modes;5164;maj.43;12.076;--;3767;--;--
proposition;5165;maj.43;14.577;--;3674;--;--
remainder;5166;maj.43;12.416;--;4301;--;--
steam;5167;maj.43;14.434;--;2779;--;3548
10am;5168;maj.42;11.622;--;--;--;--
again;5169;maj.42;12.631;162;187;467;105
also;5170;maj.42;10.319;285;70;54;1954
ashley;5171;maj.42;12.469;3018;--;--;--
aye;5172;maj.42;16.424;3280;--;--;2885
background;5173;maj.42;12.137;1704;1853;3065;2632
bailey;5174;maj.42;11.622;--;--;4931;--
barrel;5175;maj.42;12.950;--;--;--;3632
bedford;5176;maj.42;12.304;--;--;4044;--
booth;5177;maj.42;11.082;4565;--;--;4621
bowl;5178;maj.42;12.631;622;--;2008;3446
businessman;5179;maj.42;13.864;--;--;4632;--
calls;5180;maj.42;10.319;1218;1907;1051;1267
came;5181;maj.42;14.155;483;207;423;259
carolyn;5182;maj.42;14.721;--;--;3858;--
category;5183;maj.42;14.995;--;2643;4443;--
centre;5184;maj.42;0.8352;3439;1487;3879;--
chip;5185;maj.42;10.515;2760;--;4526;4683
com;5186;maj.42;10.708;800;2393;--;3133
comprehensive;5187;maj.42;13.864;--;3138;4787;--
compromise;5188;maj.42;18.193;--;4363;3066;3149
conductor;5189;maj.42;13.566;--;--;3970;--
course;5190;maj.42;13.716;661;238;666;1469
crow;5191;maj.42;16.793;--;--;--;4976
dennis;5192;maj.42;0.9495;--;--;2177;--
derived;5193;maj.42;12.137;--;1592;--;--
duration;5194;maj.42;12.469;--;3182;--;--
enzyme;5195;maj.42;12.631;--;4521;--;--
ever;5196;maj.42;10.120;185;319;619;132
financial;5197;maj.42;17.853;1721;1036;428;--
floors;5198;maj.42;0.8352;--;--;4199;4864
frances;5199;maj.42;11.796;--;--;2843;--
gene;5200;maj.42;0.9708;--;3099;2830;--
going;5201;maj.42;11.622;66;362;162;191
gotten;5202;maj.42;13.864;2165;--;3867;3568
he;5203;maj.42;0.9055;69;17;13;60
himself;5204;maj.42;0.9708;1891;186;694;2083
hockey;5205;maj.42;16.793;1573;--;624;--
hopkins;5206;maj.42;0.8352;--;--;4339;--
initial;5207;maj.42;10.515;--;1367;1891;--
inner;5208;maj.42;10.319;3993;1862;4743;2592
instance;5209;maj.42;11.082;--;917;2962;--
jeanne;5210;maj.42;10.319;--;--;4956;--
jeremy;5211;maj.42;11.445;--;--;4229;--
jr;5212;maj.42;13.415;2415;2769;402;--
julia;5213;maj.42;11.082;--;--;3073;--
julie;5214;maj.42;11.796;--;--;2642;--
listenin;5215;maj.42;15.398;4622;--;--;--
livingston;5216;maj.42;0.9278;--;--;4886;--
memphis;5217;maj.42;15.661;--;--;--;2838
mentioned;5218;maj.42;11.082;2868;931;3689;--
mercury;5219;maj.42;15.398;--;4930;--;--
mini;5220;maj.42;10.708;1791;--;--;--
monthly;5221;maj.42;0.9055;4965;3760;3003;--
nine;5222;maj.42;11.265;3495;1600;1068;994
note;5223;maj.42;0.9916;1285;532;1638;2091
nowadays;5224;maj.42;14.581;--;--;--;4625
om;5225;maj.42;16.174;2404;--;--;1717
oprah;5226;maj.42;20.513;3625;--;--;--
pasa;5227;maj.42;11.622;--;--;--;3895
penn;5228;maj.42;12.950;--;--;3726;--
peter;5229;maj.42;10.515;2178;1637;454;3318
point;5230;maj.42;0.9055;614;182;396;772
polls;5231;maj.42;12.792;--;--;3209;--
presentation;5232;maj.42;15.791;2471;3219;4680;--
primarily;5233;maj.42;0.9495;--;1989;2508;--
ranks;5234;maj.42;16.793;--;4178;4828;--
references;5235;maj.42;14.721;--;1808;--;--
resulting;5236;maj.42;12.137;--;1992;3721;--
riley;5237;maj.42;11.445;--;--;4933;--
rolled;5238;maj.42;13.566;--;--;--;2247
roof;5239;maj.42;10.120;3387;3288;4268;1852
sam;5240;maj.42;12.950;2305;4389;1912;2612
sean;5241;maj.42;0.9278;3257;--;3557;2694
secretary;5242;maj.42;13.107;--;1289;641;--
select;5243;maj.42;12.469;4716;2430;--;--
signals;5244;maj.42;11.445;--;4064;--;--
snl;5245;maj.42;12.950;4568;--;--;--
spencer;5246;maj.42;14.721;--;--;4852;--
state's;5247;maj.42;0.9916;--;--;--;--
subjects;5248;maj.42;10.120;--;1067;4472;--
tables;5249;maj.42;0.8352;--;2577;3724;3665
tell;5250;maj.42;10.319;243;496;860;80
terry;5251;maj.42;11.622;--;--;2313;--
theory;5252;maj.42;14.859;1723;427;2874;--
tom;5253;maj.42;13.415;1500;3062;1071;2915
topic;5254;maj.42;0.8827;2117;3745;--;--
toss;5255;maj.42;13.716;--;--;--;3054
treasury's;5256;maj.42;15.398;--;--;--;--
tweets;5257;maj.42;19.701;527;--;--;--
yorkers;5258;maj.42;13.716;--;--;2246;--
you'll;5259;maj.42;13.107;--;--;--;--
calculated;5260;maj.42;13.966;--;2413;--;--
configuration;5261;maj.42;14.117;--;4715;--;--
inhabitants;5262;maj.42;14.415;--;2489;--;--
statute;5263;maj.42;16.610;--;3536;--;--
interlude;5264;maj.41;14.143;--;--;--;4341
clerk;5265;maj.41;13.527;--;4350;--;--
constitutes;5266;maj.41;13.681;--;4582;--;--
cylinder;5267;maj.41;12.062;--;4888;--;--
knocks;5268;maj.41;15.932;--;--;--;4872
ratio;5269;maj.41;14.277;--;1633;--;--
tissue;5270;maj.41;14.849;--;1646;--;--
variables;5271;maj.41;12.403;--;1917;--;--
vector;5272;maj.41;10.977;--;4115;--;--
vols;5273;maj.41;14.566;--;3562;--;--
whassup;5274;maj.41;17.902;--;--;--;4904
width;5275;maj.41;0.9336;--;3866;--;--
absolute;5276;maj.40;16.162;4229;1720;--;--
ah;5277;maj.40;12.122;643;3331;--;369
alison;5278;maj.40;11.066;--;--;4822;--
anne;5279;maj.40;11.429;--;4315;1289;--
arabia;5280;maj.40;16.413;--;--;4794;--
arkansas;5281;maj.40;12.289;--;--;4523;--
boldface;5282;maj.40;10.880;--;--;4824;--
cast;5283;maj.40;13.702;2501;1855;1687;1637
chamber;5284;maj.40;13.702;--;2446;2671;--
china;5285;maj.40;17.023;1559;1065;925;3119
claimed;5286;maj.40;11.780;--;2416;4365;--
conquest;5287;maj.40;21.093;--;4243;--;--
consecutive;5288;maj.40;11.606;--;--;2967;--
daily;5289;maj.40;10.302;837;1118;611;2436
dana;5290;maj.40;10.498;--;--;3996;--
definitions;5291;maj.40;11.952;--;4513;--;--
distribution;5292;maj.40;0.9689;--;857;3028;--
dna;5293;maj.40;13.553;--;3131;--;--
document;5294;maj.40;12.289;--;2380;4013;--
each;5295;maj.40;0.9897;692;112;259;386
earlier;5296;maj.40;12.289;1247;762;654;--
embassy;5297;maj.40;13.401;--;--;3536;--
esp;5298;maj.40;11.429;3468;--;--;--
estimate;5299;maj.40;0.9897;--;2578;3183;--
fam;5300;maj.40;16.162;1212;--;--;4984
figured;5301;maj.40;11.780;2524;--;--;2809
fuel;5302;maj.40;11.780;4008;3006;2568;3932
gulf;5303;maj.40;17.143;--;4172;1731;--
headquarters;5304;maj.40;10.102;--;4190;2116;--
healthcare;5305;maj.40;20.603;3860;--;--;--
hee;5306;maj.40;14.983;3918;--;--;4207
holds;5307;maj.40;10.690;3712;2692;2841;1667
inside;5308;maj.40;0.7284;905;1275;1103;159
intent;5309;maj.40;14.569;--;4445;4582;--
jan;5310;maj.40;11.429;1376;3454;429;--
